OB_UIME,ZZZS_OE
Ajdovščina,NOVA GORICA
Beltinci,MURSKA SOBOTA
Bled,KRANJ
Bohinj,KRANJ
Borovnica,LJUBLJANA
Bovec,NOVA GORICA
Brda,NOVA GORICA
Brezovica,LJUBLJANA
Brežice,KRŠKO
Tišina,MURSKA SOBOTA
Celje,CELJE
Cerklje na Gorenjskem,KRANJ
Cerknica,LJUBLJANA
Cerkno,LJUBLJANA
Črenšovci,MURSKA SOBOTA
Črna na Koroškem,RAVNE NA KOROŠKEM
Črnomelj,NOVO MESTO
Destrnik,MARIBOR
Divača,KOPER
Dobrepolje,LJUBLJANA
Dobrova-Polhov Gradec,LJUBLJANA
Dol pri Ljubljani,LJUBLJANA
Domžale,LJUBLJANA
Dornava,MARIBOR
Dravograd,RAVNE NA KOROŠKEM
Duplek,MARIBOR
Gorenja vas-Poljane,KRANJ
Gorišnica,MARIBOR
Gornja Radgona,MURSKA SOBOTA
Gornji Grad,RAVNE NA KOROŠKEM
Gornji Petrovci,MURSKA SOBOTA
Grosuplje,LJUBLJANA
Šalovci,MURSKA SOBOTA
Hrastnik,LJUBLJANA
Idrija,LJUBLJANA
Ig,LJUBLJANA
Ivančna Gorica,LJUBLJANA
Izola,KOPER
Juršinci,MARIBOR
Kanal,NOVA GORICA
Kobarid,NOVA GORICA
Kočevje,LJUBLJANA
Kozje,CELJE
Krško,KRŠKO
Kungota,MARIBOR
Lenart,MARIBOR
Litija,LJUBLJANA
Ljubno,RAVNE NA KOROŠKEM
Logatec,LJUBLJANA
Loški Potok,LJUBLJANA
Luče,RAVNE NA KOROŠKEM
Majšperk,MARIBOR
Mengeš,LJUBLJANA
Mežica,RAVNE NA KOROŠKEM
Mislinja,RAVNE NA KOROŠKEM
Moravče,LJUBLJANA
Moravske Toplice,MURSKA SOBOTA
Murska Sobota,MURSKA SOBOTA
Nova Gorica,NOVA GORICA
Odranci,MURSKA SOBOTA
Ormož,MARIBOR
Pesnica,MARIBOR
Podčetrtek,CELJE
Postojna,KOPER
Preddvor,KRANJ
Rače-Fram,MARIBOR
Radenci,MURSKA SOBOTA
Radlje ob Dravi,RAVNE NA KOROŠKEM
Radovljica,KRANJ
Ravne na Koroškem,RAVNE NA KOROŠKEM
Ribnica,LJUBLJANA
Rogatec,CELJE
Rogašovci,MURSKA SOBOTA
Rogaška Slatina,CELJE
Ruše,MARIBOR
Semič,NOVO MESTO
Sevnica,KRŠKO
Sežana,KOPER
Slovenj Gradec,RAVNE NA KOROŠKEM
Slovenska Bistrica,MARIBOR
Slovenske Konjice,CELJE
Starše,MARIBOR
Sveti Jurij ob Ščavnici,MURSKA SOBOTA
Šenčur,KRANJ
Šentilj,MARIBOR
Šentjernej,NOVO MESTO
Šentjur,CELJE
Škocjan,NOVO MESTO
Škofja Loka,KRANJ
Škofljica,LJUBLJANA
Šmarje pri Jelšah,CELJE
Šmartno ob Paki,RAVNE NA KOROŠKEM
Šoštanj,RAVNE NA KOROŠKEM
Štore,CELJE
Tolmin,NOVA GORICA
Trbovlje,LJUBLJANA
Trebnje,NOVO MESTO
Tržič,KRANJ
Turnišče,MURSKA SOBOTA
Velenje,RAVNE NA KOROŠKEM
Velike Lašče,LJUBLJANA
Vipava,NOVA GORICA
Vodice,LJUBLJANA
Vrhnika,LJUBLJANA
Zagorje ob Savi,LJUBLJANA
Zreče,CELJE
Žiri,KRANJ
Hrpelje-Kozina,KOPER
Ilirska Bistrica,KOPER
